,id,category,corpus
28,28,Computers,million million million siren million pull system gun gun siren system protege sentence matter system protege test million gun pull sentence million fund fund test test million pull fund siren matter siren matter siren test sentence system protege
29,29,Computers,pull million siren siren sentence matter sentence million test fund matter million system protege gun siren sentence fund system pull system protege million protege siren gun test siren million matter system pull fund million test test gun million
30,30,Society,call company call bail storm call coup company storm coup bail call recall company recall storm coup bail company recall storm
31,31,Society,storm company recall company recall storm recall coup bail call company storm call bail coup bail storm call call company coup
32,32,Business,withdrawal fund fund language company start experience language company idea fund document withdrawal company idea minor company growth start mutual growth growth draw deposit plain plain language fund deposit plain deposit company draw mutual experience start mutual minor company idea fund company language withdrawal document draw experience minor document document fund
33,33,Business,language mutual idea draw document experience company growth company withdrawal company fund deposit fund experience deposit draw language deposit idea draw withdrawal document idea fund mutual plain plain minor fund company company company company document start minor growth language start minor growth plain withdrawal start fund mutual document experience language fund
34,34,Computers,participation additional account relate receivables write account receivables system eligible system receivables respect relate assignment eligible write additional participation provide addition account account system account notice additional additional relate additional business additional eligible date trustee respect addition account additional addition date additional account list participation participation trustee computer assignment computer business trustee list system additional receivables notice computer assignment list business date trustee account account write computer participation participation participation respect provide computer additional notice addition relate additional assignment date provide
35,35,Computers,addition relate computer participation additional notice relate trustee participation addition participation additional account assignment system account computer computer computer additional account provide receivables account participation assignment respect business relate relate addition date trustee list respect computer date notice write notice list system write assignment system eligible business additional eligible list account participation additional receivables respect additional assignment account provide addition additional receivables account eligible date participation receivables provide business participation additional additional system trustee trustee write date account account additional additional
36,36,Health,french eating bone flesh remain pot evidence evidence cut ago indian bone myth cannibal myth myth ago american eating bone american flesh eating flesh cut ago ritual cannibal remain eating cannibal ago indian eating french flesh remain french pot ago bone ritual american cut cut evidence bone pot flesh ritual bone indian
37,37,Health,american indian american remain eating eating cannibal bone indian bone flesh ago ago evidence indian cut ago eating myth remain pot cut cut flesh pot bone cut french ago flesh french myth evidence cannibal eating flesh bone flesh ago remain pot evidence french ritual bone ritual bone myth eating american ritual cannibal
38,38,Society,migration migration face kind citizenship european immigrant expert face society expert look migration large european worker society goal immigration face european european worker country number european challenge country immigrant million immigrant labor million kind immigration number kind kind country million labor migration million labor look country large number immigration worker face citizenship challenge european country worker country challenge citizenship demographer goal goal expert european demographer labor labor worker large labor society european migration demographer million look
39,39,Society,large citizenship number labor labor labor society labor face citizenship immigrant million country european look society challenge look labor kind country country worker worker worker european worker country million migration european goal million demographer european society number immigration goal kind immigrant european challenge look kind labor kind migration migration immigration challenge expert million immigrant european face worker european demographer face country migration large goal million demographer citizenship migration country face number large expert expert immigration european
40,40,Society,language political european language european european language french french political french model model language european political european french european model french
41,41,Society,political french model french european model language french language european european language political french european political european french model european language
42,42,Recreation,boot boot state boot prison boot force force camp camp camp camp task boot juvenile prison camp state state juvenile boot juvenile camp criminal camp camp juvenile camp boot boot state camp camp state camp force criminal boot juvenile camp camp program camp juvenile boot program camp criminal juvenile state task prison boot task camp camp boot program
43,43,Recreation,juvenile camp camp camp camp program juvenile state state juvenile camp boot camp state criminal task juvenile juvenile program force force camp task force camp criminal camp state task boot camp boot camp state boot camp camp juvenile camp boot boot camp boot prison program camp camp boot prison boot prison boot boot state criminal boot juvenile camp
44,44,Recreation,boot juvenile political boot kid expert camp program program tough camp boot juvenile juvenile kid political expert program boot tough tough expert camp tough program boot juvenile camp political camp kid
45,45,Recreation,boot juvenile camp program camp tough expert political program boot kid boot kid tough tough boot camp kid juvenile boot expert political juvenile juvenile camp political expert tough program camp program
46,46,Society,die security country war country fact fact colonial war security country today conflict fact american war american security today conflict american colonial die conflict american today colonial american american die fact american
47,47,Society,american conflict country country security war fact security conflict american die american conflict today die fact american colonial war country today fact american american war security american die colonial today colonial fact
48,48,Society,army war country call country call army call army country war war
49,49,Society,war call army country call call war country war army country army
50,50,Society,power expert colonist fight group tend ethnic outsider ethnic expert fight elite colonist european power hatred ethnic group percent hatred genocide percent european genocide power ethnic group european hatred outsider elite outsider hatred hatred genocide expert ethnic percent group tend ethnic elite fight colonist tend
51,51,Society,hatred percent elite ethnic elite outsider european fight ethnic european hatred colonist percent ethnic group elite ethnic genocide outsider power outsider colonist hatred power tend european hatred ethnic fight power ethnic expert group tend expert genocide hatred tend genocide fight group group expert colonist percent
52,52,Society,slaughter ethnic country ethnic slaughter country slaughter country ethnic
53,53,Society,country ethnic country country slaughter slaughter ethnic slaughter ethnic
54,54,Society,campaign percent delegate nominee line democratic candidate candidate campaign process primary state presidential process primary delegate percent state process delegate campaign candidate primary percent state calendar election line democratic big big election candidate calendar big candidate contest candidate candidate calendar democratic candidate nominee calendar presidential candidate contest percent candidate primary democratic election contest calendar line candidate candidate presidential nominee election delegate
55,55,Society,election calendar election percent primary candidate contest candidate candidate state line candidate democratic primary contest candidate percent candidate delegate democratic candidate line campaign calendar contest presidential campaign process big candidate delegate line calendar presidential candidate primary election calendar presidential nominee process democratic candidate candidate percent delegate percent election nominee campaign big big candidate process primary nominee calendar delegate state democratic state
56,56,Society,republican campaign system campaign early republican early primary system candidate system primary republican republican early primary candidate candidate campaign
57,57,Society,system republican republican candidate system campaign primary primary early republican early system candidate early candidate primary campaign campaign republican
58,58,Computers,human future director foot display display director foot prototype future future capsule item capsule display foot director submit submit human director human prototype item submit capsule capsule submit item future submit prototype
59,59,Computers,prototype future submit capsule director prototype director foot foot display capsule director item director submit future capsule submit prototype item item submit human foot future human human display future display submit capsule
60,60,Society,victim reporter police apartment killer killer police reporter tell tell police victim killer killer child reporter murderer acid police victim police murderer victim police apartment murderer police killer police child tell child acid acid apartment child police victim
61,61,Society,campaign republican campaign state primary contender contender schedule candidate state chairman state primary republican chairman chairman campaign candidate republican nomination contender nomination contest contender contender schedule candidate schedule nomination campaign contest primary candidate contest
62,62,Society,control control voter election control voter seat win win campaign win campaign campaign win campaign voter history election election history win seat history seat
63,63,Society,political campaign political republican issue candidate candidate issue issue political republican governor republican issue race issue race candidate campaign campaign issue campaign race governor political issue governor issue republican
64,64,Society,political candidate voter vote candidate voter citizen press voter campaign system voter campaign politician vote system voter voter campaign republican presidential american politician candidate american candidate vote system american american republican citizen press system presidential politician politician campaign system republican system american vote candidate vote press system citizen political presidential political
65,65,Society,attention american television political politic government politic medium medium attention government american political politic television american government television political attention government medium
66,66,Society,fight elite tend ethnic group power hatred genocide european power ethnic european percent ethnic percent elite colonist power genocide genocide fight european outsider ethnic hatred outsider fight tend ethnic tend group expert colonist group colonist ethnic hatred outsider expert elite percent hatred expert group hatred
67,67,Society,power outsider elite european power hatred colonist hatred genocide hatred colonist expert percent percent elite hatred ethnic tend outsider group genocide ethnic expert european ethnic elite power hatred percent group fight group fight colonist outsider ethnic ethnic tend ethnic group fight european expert genocide tend
68,68,Society,ethnic country ethnic country slaughter country slaughter ethnic slaughter
69,69,Society,country country slaughter slaughter slaughter ethnic ethnic ethnic country
70,70,Society,presidential family privilege president staff president power office decree president decree benefit presidential government benefit staff prime president leave office minister prime apparently president prime benefit office family office minister government give benefit apparently power power office president presidential president decree decree government apparently job president presidential privilege job minister give give job leave president leave decree office family privilege staff
71,71,Recreation,cat meat police pet meat meat animal owner theft cat owner police restaurant cage cat cat theft animal cat owner owner meat cat cat cat cat cat meat animal restaurant restaurant police restaurant animal pet pet cat owner cat cat owner cage cat pet theft restaurant cat animal cat cat cage
72,72,Sports,team return game coach return return team return return past game injury coach team game injury tell game team return practice injury past take take take tell practice game past practice coach tell
73,73,Sports,high coach number play quarterback play coach situation quarterback game game quarterback high run quarterback pass school yard play pass run nation nation quarterback quarterback ago season ago yard quarterback yard coach pass coach quarterback situation run quarterback nation play game ago quarterback number coach yard school number season run game high game coach game school school yard situation game yard high quarterback run run season
74,74,Sports,receiver general team couch manager pick receiver million player manager million team general million season season player season general receiver pick team receiver couch player couch team player season receiver pick million manager season couch
75,75,Sports,record pro season player hand run season buccaneer native contract receiver season falcon league team play league big owner rounder injury jet hand run pro owner owner record record money break return run season buccaneer team record dolphin bronco league league season native season big contract bronco patriot record dolphin season falcon pro record season team player season native team player game player season season jet league quarterback rounder patriot team player play player quarterback team hand break rounder quarterback pro buccaneer season return raider big patriot season falcon receiver jet season receiver bronco season owner money season game patriot falcon return player play injury league big retire jet contract native season contract quarterback run dolphin jet retire big game break quarterback money raider receiver injury falcon receiver jet retire play raider pro dolphin return dolphin raider
76,76,Sports,team free free believe agent cardinal team speculation free cardinal coach mad coach coach mad team cardinal team team coach coach agent contract contract agent believe mad mad speculation coach believe agent contract cardinal speculation
77,77,Sports,team team team season team team playoff playoff forward wing season game game game play playoff season team play wing playoff game season playoff wing season game win wing forward wing play team win forward playoff season wing win team team team playoff
78,78,Sports,game deal play offer million million game offer million player million play game million team team offer player play team player million deal team game million game player team deal million
79,79,Games,game game goal game able goal able able goal goal goal
80,80,Sports,unrestricted million shark unrestricted shark free contract sign million deal play goal unrestricted season sign shark deal season play free team contract million million play contract goal deal team goal million contract free season sign team
81,81,Society,hawk hawk trust school young trust young school hawk school young trust
82,82,Sports,team line team team percent corn corn team game team point point coach game line percent king guy coach row king percent corn king row game guy point guy game team line percent row coach
83,83,Games,play point point point play play play
84,84,Society,racial campaign tell word front campaign stump presidential democratic tell reform democratic racial reform campaign campaign stump question democratic campaign style spending presidential campaign front big tell campaign administration front tell style question speech administration speech reform campaign racial word word big question style big campaign administration big spending tell spending democratic campaign presidential speech stump
85,85,Society,campaign big campaign tell front tell campaign racial campaign administration campaign administration democratic big democratic style campaign word racial presidential question front speech question racial presidential campaign democratic campaign style tell presidential word speech spending administration tell tell reform speech campaign democratic front big big style spending word stump spending reform stump campaign stump question reform
86,86,Business,percent high percent performance cash big employee option future tech option shareholder attorney employee high offer compensation market employee firm corporate firm pay shareholder price compensation pay option today award high award offer high compensation partner company employee option today company lawyer company company corporate partner client offer option payoff lawyer option firm big employee compensation share share incentive lawyer future company price accelerator employee option accelerator option market market compensation market company incentive price future payoff option option performance attorney option share market firm partner company option client firm big option client option payoff employee tech client share accelerator corporate percent award compensation offer option company option employee company pay option option option corporate percent firm compensation performance market employee market option option option option big option option employee firm option employee compensation option employee employee option option today attorney shareholder incentive market option option market tech price cash future cash
87,87,Computers,system business computer system chairman computer significant government chairman significant computer technology computer business spent internet warn problem spent computer technology problem government significant expert warn internet system threat real computer warn computer problem internet computer technology computer real government investment computer threat real business real government threat chairman expert spent system expert need investment need computer investment computer expert need spent problem system problem business computer technology computer
88,88,Society,militant cross hijacker hijacking hostage head hijacker cross militant government end end hostage hijacker hijacking hijacker government government head hijacker hijacker hostage hijacker hijacker hour hijacking government end cross head hijacker hijacker hijacker hijacking hour hostage militant hijacker hour hostage head hijacker
89,89,Home,group father stay kid unemployed home unemployed home home father percent convention home group stay unemployed face father kid group percent group percent stay face home stay stay stay home home face raise kid group convention home raise convention father father group home home father percent father raise
90,90,Arts,child child house kid husband clean son son stay stay tell clean tell career convention clean home home home father father home stay career wife house tell audience gain audience son stay woman call home child stay home wife husband wife clean stay home woman convention home kid woman audience father home kid gain call career house gain call father stay husband convention husband child call
91,91,Society,strong strong strong power strong democratic democratic power government nation percent president nation russian democratic structure president russian rule percent president nation nation structure bureaucracy structure bureaucracy democratic power percent bureaucracy democratic government power power rule percent rule russian rule president government nation power
92,92,Society,government president government government government economy system president president system system economy economy
93,93,Sports,beat player player team player season beat reach team playoff playoff player season playoff team beat season team season player team season team reach player team playoff reach playoff team playoff
94,94,Arts,chat relate internet friend game midnight celebration person write internet person celebration internet relate happy site person midnight person sense midnight chat chat site site write happy night y2k y2k site mail friend happy y2k midnight internet write mail game mail celebration write friend happy happy sense write night internet relate happy sense night midnight game internet midnight write
95,95,Sports,federal flight law computer official flight computer computer midnight seat law martial seat point aboard midnight aboard federal flight traffic law point martial law computer martial aboard official official law federal martial seat computer computer martial point midnight traffic traffic aboard
96,96,Arts,guest reporter dinner room guest ask dinner reporter dinner room dinner guest room guest guest ask reporter ask guest room
97,97,Recreation,com com information com y2k focus com look y2k stock stock com special millennium y2k y2k y2k com option business special look focus y2k millennium com special y2k focus option business y2k millennium millennium option millennium business information business y2k business millennium y2k y2k look stock stock y2k information
98,98,Games,hotel half millennium arrival computer hype millennium spent hotel thousand hype arrival computer thousand remember millennium arrival hype millennium computer hotel millennium half spent thousand remember remember spent millennium arrival half thousand half
99,99,Society,police midnight celebration celebration midnight rain flash sign police rain flash sign midnight flash crowd rain crowd sign sign police celebration celebration crowd
100,100,Computers,backup system report shut fix system grid report plant power power incident report computer system government nation traffic problem glitch traffic spent y2k est power spent problem nation problem y2k glitch grid computer system computer power problem fix backup federal system midnight shut official shut switch y2k nation operation system system plant backup problem problem incident report backup plant clock system nation official clock system report y2k system system official switch y2k federal y2k operation grid est problem computer plant midnight system switch problem y2k clock operation official midnight system spent y2k y2k government glitch system system fix government incident government problem problem federal nation traffic est official
101,101,Computers,est system nation system report plant government system glitch grid spent report traffic system backup federal report switch spent problem switch backup government problem shut system grid y2k incident shut system plant operation shut problem power clock incident midnight report switch problem problem y2k est nation problem operation nation system report midnight y2k computer y2k plant power problem power operation computer y2k traffic nation system glitch est y2k system system y2k official official problem federal plant grid government system federal fix official government system official fix problem traffic system computer backup incident y2k power spent glitch system system y2k nation backup clock problem official midnight clock fix computer
102,102,Society,director supporter penalty poll poll legalization group harm poll legalization policy harm harm american american coalition critic legal medical legalization director legal voter coalition coalition group director personal criminal critic american american supporter help policy coalition policy harm supporter drug poll medical voter drug drug drug legalization medical group penalty policy medical voter american drug drug personal drug criminal personal penalty drug legal help help criminal drug critic
103,103,Health,marijuana drug medicinal drug drug marijuana drug medicinal drug drug group marijuana marijuana group marijuana drug drug group drug medicinal marijuana
104,104,Arts,makeover head woman president head president believe president feel look believe believe woman look makeover look head woman look makeover feel look look feel feel head look
105,105,Society,aide force force force nation air dismissal government government military air force air aide civilian interest air government officer force dismissal commercial military arm air government air air military force nation arm force commercial military air interest civilian arm commercial air air air government force officer military government force interest force dismissal officer force interest force aide military force civilian force nation officer government
106,106,Society,tradition moral epic epic strong authority history moral strong epic tell tradition history tell strong authority tradition tell epic history epic epic moral text authority epic epic epic epic text moral history century text tradition epic century century epic epic
107,107,Science,principle epic epic epic principle epic epic principle principle principle epic epic
108,108,Recreation,millennium tomorrow plaza plaza millennium cuban plaza tourist tomorrow tomorrow cuban tourist cuban millennium century cuban century tomorrow tourist century millennium tourist
109,109,Society,cuban cuban tourist cuban tourist cuban tourist son think think revolution cuban cuban revolution revolution cuban tourist cuban think son son cuban revolution
110,110,Society,political election president election politician politician political war minister war president election election political war minister president prime prime minister politician prime political politician
111,111,Society,celebration hour firework firework night ban celebration night firework firework ban firework midnight midnight firework island firework hour firework firework celebration firework neighborhood island louder neighborhood hour firework neighborhood firework island firework hour firework louder louder ban celebration night midnight firework
112,112,Arts,modern town foundation build pudding architecture collection build build foundation modern build modern architecture collection architecture architect architect architecture architect company build raisin architecture build town build architecture company raisin town architect raisin architecture build foundation architect architect company architect foundation build collection pudding architecture architect pudding build modern company architecture
113,113,Society,historic architecture status architect church expect building architect building status modern expect build building architect building church build group architecture church building application commission group building build modern building modern historic application build building church historic modern architecture architect commission architecture architect status building historic architect application application group architect building building expect architect historic commission church modern architecture building application
114,114,Sports,win packer packer team packer playoff beat beat card game packer lose game game spot field card spot win playoff game beat lose lose playoff beat point team advantage point win beat beat home field final titan win wild game wild card win wild spot win win field advantage home titan field final playoff point packer final home lose win titan point playoff point win win team beat win win playoff beat advantage playoff
115,115,Society,decade political global globalization trade global economy decade century war trade globalization investment economy global trade war century economy economy trade war economy economy investment trade global century political investment globalization economy economy global economy trade war economy global political decade global investment economy century
116,116,Business,variety variety dome variety night night dome night dome traditional night traditional dome traditional
117,117,Sports,light line hash town morning morning celebration sun town american american sun american small hash town celebration sun town small breakfast celebration breakfast morning breakfast town american sun light line morning breakfast line small morning celebration light celebration sun hash sun
118,118,Computers,problem computer computer computer problem system system problem system
119,119,Society,spending security city money public fund federal million million money project progress safety public city commission scandal government game safety game ethic bid federal money game commission government project dollar million federal project project million spend safety spending spend federal bid game progress million commission ethic city million scandal federal ethic million game security spend federal game city federal spend game million fund money spend million safety spend game city scandal reform city game billion security spend million project government government federal million fund million commission game game dollar spend million ethic security spend spend commission reform spending bid million game dollar progress reform billion public spend fund spend federal billion million reform game spend game security dollar game
120,120,Computers,computer incident system fix report system switch problem y2k system operation report power shut plant nation shut system official est midnight system est computer system official system official system problem glitch y2k report y2k operation switch computer plant clock spent y2k incident system power traffic grid system federal problem report system official switch fix spent problem traffic glitch backup system government computer problem system system government federal clock y2k power y2k fix midnight traffic government government backup nation problem nation incident y2k grid clock nation y2k report system glitch plant grid federal plant spent est shut nation midnight problem backup backup problem official problem problem operation y2k power
121,121,Games,resident resident resident
122,122,Recreation,morning morning morning morning
123,123,Society,studio ton police police party bomb party close police ball police close bomb ball officer close party officer block studio ball midnight ton police party studio block ton officer close police block midnight ton block midnight bomb
124,124,Sports,playoff need season home playoff coach net net coach playoff need coach team take win need home coach net win net take coach home net win season net home playoff take coach season coach net team team team
125,125,Society,date date anti problem night return night palestinian return problem date problem return return palestinian palestinian anti anti night return night
126,126,Sports,fan sky commission guard fan set player player major player run football riot major fan sky eventually team game major stand game athlete player player event fan riot set eventually minor hard team sport game sport athlete eventually player athlete game turn commission event sport riot guard football athlete player player team guard set player riot sport commission run century football century fan team turn player hard event game fan fan sport game century hard game fan player sport sport event sport fan sport fan fan minor commission game turn minor fan sky game fan game fan stand run athlete stand athlete sky fan team fan
127,127,Games,thousand hype hotel remember remember half arrival thousand hotel hype computer millennium remember millennium thousand half millennium computer millennium half hotel arrival thousand arrival arrival millennium spent spent half hype millennium spent computer
128,128,Society,political newspaper politic newspaper politician politic russian russian politician future political politic russian newspaper journalist future political political journalist guest future russian guest politic political political guest journalist politician political political
129,129,Society,open runner peace peace peace peace bless peace peace peace bless peace open bless runner open runner
130,130,Home,mild shower state cloud shower mild shower weather mild weather central central state cloud weather central cloud shower state
131,131,Recreation,loss center fight troop fight loss rebel war fight fight rebel military rebel military wound wound fight wound loss rebel troop war center military war war troop troop troop fight fight center troop rebel
132,132,Recreation,fight soldier troop rebel troop soldier rebel rebel troop fight soldier artillery troop artillery night troop rebel rebel soldier night troop soldier rebel fight rebel rebel troop troop artillery night rebel artillery rebel rebel night fight troop
133,133,Sports,client franchise million complaint client million lawyer million contract complaint player business player owner model client lawyer lawyer player contract client business business owner client player player player complaint owner franchise player million contract complaint player player model model model million franchise player business
134,134,Sports,record care rider record team care hawk player team player record rider care hawk player rider hawk rider team
135,135,Sports,season game season pitch season season home pitch team right game home hit season major pitcher player season season hit run home pitch pitch season pitcher run run century season season right run team season team player win pitcher home run season total game win team major season game right win season record record team pitcher home player player inning run home record player season win record player win season season game pitch win major season game game team hit player pitcher player victory total game bat win player run total win century run inning run century pitcher hit home player pitcher right game player total run bat victory player game century bat hit run game team season hit run hit hit hit record team season inning victory game century hit record player home win record right player total major season home player win home run game season home home game player season major
136,136,Sports,season season game season team winner season game team game winner winner season season game season game season team season game
137,137,Recreation,border mexican green mexican bridge river mexican bridge river mexican side green side bridge river walk border walk mexican border border border bridge side green walk border river
138,138,Computers,date bug hour report country hour y2k y2k y2k computer date y2k date official country system problem y2k win computer y2k bug computer report operation problem software y2k problem software bug y2k operation problem y2k y2k y2k software computer country y2k authority y2k computer official hour authority system report report y2k system authority bug system win y2k country win official operation operation
139,139,Computers,problem software y2k bug software y2k y2k report date authority system operation computer country authority problem y2k report problem y2k country hour bug y2k date y2k win report system bug computer win hour country operation system computer win y2k bug y2k y2k y2k official report system y2k software official operation country y2k date authority operation hour y2k computer y2k official computer problem
140,140,Society,criticism criticism terrorist crisis hijacker hijacker deal deal crisis militant militant hostage deal militant plane militant militant hostage terrorist hijacker minister minister crisis terrorist hostage terrorist minister terrorist plane war plane hostage criticism war hijacker militant hostage war hostage hijacker plane militant
141,141,Sports,play win league sign bear form owner form league team player game season sign cardinal name game game sign name coach coach player player team bear season win team play team team bear team game team bear win football team game league player owner player player player play coach team play sign coach owner coach cardinal player play cardinal play football form form game play name team season win game team season player football
142,142,Sports,quarterback quarterback game quarterback team game team game team
143,143,Society,crowd event aztec advent global economy history mexican mexican millennium part history event economy mexican history square square central square aztec crowd global central part advent square central millennium aztec square square part crowd millennium economy history central advent global mexican aztec history event crowd mexican
144,144,Society,hijacker hijacker passenger newlywed joke joke passenger passenger hijacker release hijacker hostage husband indian husband song hijacker call call song song gun passenger hostage release passenger hijacker newlywed hijacker gun husband plane hijacker newlywed hijacker joke hijacker hostage indian release hostage passenger plane call hijacker plane gun newlywed plane indian passenger hostage newlywed hostage
